name,POI,geometry
my chemist  2b pharmacy,Pharmacies,POINT (8268931.967778572 3694708.7126067285)
bajwa medicine co (pharmacy),Pharmacies,POINT (8266759.245089216 3697157.410220916)
new azeem pharmacy,Pharmacies,POINT (8268658.789748164 3699395.261504374)
aims pharmacy,Pharmacies,POINT (8260353.921588972 3690751.615248881)
aabpara pharmacy,Pharmacies,POINT (8275809.942704774 3699944.146096734)
aabpara pharmacy,Pharmacies,POINT (8268944.034811372 3694899.450195897)
clinicaid pharmacy,Pharmacies,POINT (8260147.078843129 3691707.1773021715)
ahmad medical and general store,Pharmacies,POINT (8260631.897489431 3691333.438341754)
aims pharmacy,Pharmacies,POINT (8261567.359698364 3688881.4716430544)
rainbow pharmacy,Pharmacies,POINT (8262108.539402856 3692025.8059341544)
rite aid pharmacy,Pharmacies,POINT (8261643.780528792 3689384.167927367)
med loft pharmacy,Pharmacies,POINT (8267578.389562219 3685023.5011742855)
pharmacy,Pharmacies,POINT (8260146.678092962 3691707.555731545)
pharmacy,Pharmacies,POINT (8259613.891878076 3688773.266331572)
bashir sons pharmacy,Pharmacies,POINT (8261858.315451449 3692011.0468129544)
shifa pharmacy,Pharmacies,POINT (8261614.058224753 3689520.4687054544)
aabpara pharmacy,Pharmacies,POINT (8275509.958940985 3699031.510934864)
wellcure pharmacy,Pharmacies,POINT (8264590.028963823 3687751.8209166257)
hashim pharmacy,Pharmacies,POINT (8260852.744227217 3689684.96581895)
aid plus pharmacy,Pharmacies,POINT (8269478.524214467 3689868.527273994)
alfalah pharmacy,Pharmacies,POINT (8269538.992961866 3690641.6188394628)
sajid brothers medical store,Pharmacies,POINT (8266686.497801982 3690699.330948429)
medic pharmacy,Pharmacies,POINT (8276223.305369936 3688996.801242095)
servaid pharmacy,Pharmacies,POINT (8277233.162394567 3689032.704977256)
green plus pharmacie park arab society branch,Pharmacies,POINT (8276402.3739028275 3688939.801669727)
al aziz pharmacy  26 clinic,Pharmacies,POINT (8276274.133849434 3688084.20073151)
the pharmacist,Pharmacies,POINT (8281343.85723109 3691120.9390215105)
mehmood  26 sons pharmacy,Pharmacies,POINT (8277710.299996004 3687650.082850616)
mehtaab pharmacy,Pharmacies,POINT (8277144.98622591 3691197.39137579)
md plus pharmacy,Pharmacies,POINT (8277172.838362506 3689954.5877406667)
mirha pharmacy  26 general store,Pharmacies,POINT (8277330.778456043 3690452.0306724613)
care  2b pharmacy,Pharmacies,POINT (8277973.136445716 3689235.526530375)
al-naqeeb medical store,Pharmacies,POINT (8277085.274451048 3689978.8037725613)
muzammil pharmacy  26 clinic,Pharmacies,POINT (8276803.8365144245 3687912.5893968595)
dukes  26 dukes pharmacy,Pharmacies,POINT (8276988.504417701 3689095.314976878)
servaid pharmacy,Pharmacies,POINT (8267455.559636077 3689219.609626635)
trust pharmacy store h block,Pharmacies,POINT (8281625.08366068 3695578.992565487)
naik pharmacy,Pharmacies,POINT (8266000.558231664 3697873.8696704227)
hodgson plus pharmacy,Pharmacies,POINT (8267181.05690373 3687492.0311362455)
csh pharmacy,Pharmacies,POINT (8276151.170339903 3700857.8811929743)
afaq pharmacy  26 homeopathic clinic,Pharmacies,POINT (8274110.951240442 3696954.99239009)
