name,POI,geometry
,Health Points,POINT (8261612.44589469 3689433.15348487)
,Health Points,POINT (8263055.14589469 3691926.67848487)
,Health Points,POINT (8261722.92089469 3691829.02848487)
,Health Points,POINT (8263185.94589469 3693681.15348487)
,Health Points,POINT (8263180.32089469 3693655.80348487)
,Health Points,POINT (8262882.57089469 3693595.42848487)
,Health Points,POINT (8262348.12089469 3692891.02848487)
,Health Points,POINT (8264149.17089469 3676828.80348487)
,Health Points,POINT (8264169.49589469 3676825.65348487)
,Health Points,POINT (8264109.19589469 3676758.45348487)
,Health Points,POINT (8264171.29589469 3676705.87848487)
,Health Points,POINT (8263973.29589469 3676129.95348487)
,Health Points,POINT (8264013.87089469 3676100.92848487)
,Health Points,POINT (8264186.82089469 3676100.02848487)
,Health Points,POINT (8263960.47089469 3678563.02848487)
,Health Points,POINT (8265207.34589469 3678363.60348487)
,Health Points,POINT (8264269.77089469 3678151.65348487)
,Health Points,POINT (8264596.77089469 3677986.42848487)
,Health Points,POINT (8264435.22089469 3682831.87848487)
,Health Points,POINT (8264666.67089469 3683485.80348487)
,Health Points,POINT (8264407.69589469 3683416.80348487)
,Health Points,POINT (8264422.69589469 3683395.57848487)
,Health Points,POINT (8263901.07089469 3689113.05348487)
,Health Points,POINT (8263938.72089469 3689087.40348487)
,Health Points,POINT (8264795.29589469 3692666.32848487)
,Health Points,POINT (8264734.09589469 3694607.32848487)
,Health Points,POINT (8264363.29589469 3694471.80348487)
,Health Points,POINT (8264513.74589469 3693972.30348487)
,Health Points,POINT (8264539.77089469 3693653.70348487)
,Health Points,POINT (8264076.34589469 3693552.45348487)
,Health Points,POINT (8264082.34589469 3693530.62848487)
,Health Points,POINT (8265165.57089469 3693324.97848487)
,Health Points,POINT (8263900.77089469 3693319.27848487)
,Health Points,POINT (8264666.89589469 3693128.47848487)
,Health Points,POINT (8264084.44589469 3693086.10348487)
,Health Points,POINT (8264781.27089469 3692713.12848487)
,Health Points,POINT (8263796.89589469 3696402.37848487)
,Health Points,POINT (8264420.89589469 3695143.35348487)
,Health Points,POINT (8263464.79589469 3695066.25348487)
,Health Points,POINT (8264411.37089469 3694836.60348487)
,Health Points,POINT (8264844.27089469 3694787.32848487)
,Health Points,POINT (8264448.94589469 3694765.05348487)
,Health Points,POINT (8264537.37089469 3694763.77848487)
,Health Points,POINT (8264369.52089469 3697876.20348487)
,Health Points,POINT (8264367.72089469 3697543.65348487)
,Health Points,POINT (8264428.02089469 3696953.62848487)
,Health Points,POINT (8264980.47089469 3696871.42848487)
,Health Points,POINT (8265088.24589469 3711222.90348487)
,Health Points,POINT (8265251.22089469 3712098.60348487)
,Health Points,POINT (8265187.92089469 3712054.72848487)
,Health Points,POINT (8265830.82089469 3682263.45348487)
,Health Points,POINT (8265797.97089469 3684749.10348487)
,Health Points,POINT (8265699.72089469 3684536.55348487)
,Health Points,POINT (8266609.77089469 3685881.30348487)
,Health Points,POINT (8266008.79589469 3685507.50348487)
,Health Points,POINT (8267198.59589469 3688361.62848487)
