id,geometry
,POINT (8281786.845894692 3707898.603484872)
,POINT (8260303.470894692 3697026.753484872)
,POINT (8260774.170894693 3690958.878484872)
,POINT (8276266.245894693 3692625.978484872)
,POINT (8271657.570894693 3699703.578484872)
,POINT (8266953.420894693 3713782.503484872)
,POINT (8281645.095894692 3707938.803484872)
,POINT (8277996.195894693 3703996.578484872)
,POINT (8288242.845894692 3708287.853484872)
,POINT (8269469.595894692 3690139.653484872)
,POINT (8275433.445894693 3688936.878484872)
,POINT (8267047.170894693 3713542.728484872)
,POINT (8280805.320894693 3707992.053484872)
,POINT (8269179.945894693 3690387.228484872)
,POINT (8271098.670894693 3699598.653484872)
,POINT (8288191.170894693 3708156.753484872)
,POINT (8277493.920894693 3703980.978484872)
,POINT (8266399.470894692 3713616.978484872)
,POINT (8243409.945894693 3667892.103484872)
,POINT (8288301.645894693 3711138.303484872)
,POINT (8261179.845894692 3691418.928484872)
,POINT (8275181.970894692 3692682.153484872)
,POINT (8271770.670894693 3699622.428484872)
,POINT (8278100.370894693 3704187.078484872)
,POINT (8265710.820894693 3710702.928484872)
,POINT (8287555.845894692 3708628.203484872)
,POINT (8261428.095894692 3691392.003484872)
,POINT (8281310.670894693 3707982.303484872)
,POINT (8270676.945894693 3690365.478484872)
,POINT (8286564.570894693 3708558.303484872)
,POINT (8269558.545894693 3690358.203484872)
,POINT (8272750.770894693 3699980.778484872)
,POINT (8265988.320894693 3710700.378484872)
,POINT (8287834.320894693 3708470.628484872)
,POINT (8277535.845894692 3704015.328484872)
,POINT (8260686.720894692 3691517.478484872)
,POINT (8275146.495894693 3689292.003484872)
,POINT (8271291.720894692 3699731.178484872)
,POINT (8281030.770894693 3704502.453484872)
,POINT (8269664.295894693 3690530.253484872)
,POINT (8270112.945894693 3690530.103484872)
,POINT (8276565.045894693 3689178.528484872)
,POINT (8272227.870894693 3699940.053484872)
,POINT (8287171.320894693 3709255.053484872)
,POINT (8260370.445894693 3691421.628484872)
,POINT (8243196.495894693 3668859.603484872)
,POINT (8280962.970894692 3708058.653484872)
,POINT (8275536.645894693 3689182.578484872)
,POINT (8265462.045894693 3711006.828484872)
,POINT (8265836.970894692 3711184.353484872)
,POINT (8276596.995894693 3689319.153484872)
,POINT (8282493.945894693 3704368.653484872)
,POINT (8243542.470894692 3668234.328484872)
,POINT (8269136.145894693 3690389.178484872)
,POINT (8271670.095894692 3700095.303484872)
,POINT (8260423.620894693 3692100.303484872)
,POINT (8265385.245894693 3710742.678484872)
,POINT (8276519.295894693 3689379.378484872)
,POINT (8287197.945894693 3708874.728484872)
,POINT (8260991.520894693 3692100.528484872)
,POINT (8281469.220894692 3704547.378484872)
,POINT (8270245.020894693 3690614.403484872)
,POINT (8265360.345894692 3710837.253484872)
,POINT (8271436.920894693 3699991.578484872)
,POINT (8281460.895894693 3704537.928484872)
,POINT (8278631.595894692 3700496.928484872)
,POINT (8261337.570894693 3691957.803484872)
,POINT (8276735.070894693 3689295.753484872)
,POINT (8260662.495894693 3691565.628484872)
,POINT (8265295.920894693 3711239.778484872)
,POINT (8287056.720894692 3709651.653484872)
,POINT (8275744.320894693 3689727.228484872)
,POINT (8270347.620894693 3690609.078484872)
,POINT (8261050.170894693 3692301.378484872)
,POINT (8271128.220894692 3700347.453484872)
,POINT (8243251.545894693 3668949.528484872)
,POINT (8281116.120894693 3704602.878484872)
,POINT (8271061.920894693 3700234.728484872)
,POINT (8282256.945894693 3704605.878484872)
,POINT (8270729.370894693 3690659.703484872)
,POINT (8277851.295894693 3700445.328484872)
,POINT (8260582.245894693 3692356.428484872)
,POINT (8287580.595894692 3709288.353484872)
,POINT (8271520.020894693 3700305.678484872)
,POINT (8269957.470894692 3690712.353484872)
,POINT (8287762.770894693 3709648.503484872)
,POINT (8277137.520894693 3700685.778484872)
,POINT (8287459.470894692 3709857.903484872)
,POINT (8271313.095894692 3700361.778484872)
,POINT (8274914.970894692 3689511.078484872)
,POINT (8282168.145894693 3704572.653484872)
,POINT (8271020.745894693 3690628.503484872)
,POINT (8266190.820894693 3711457.053484872)
,POINT (8277674.520894693 3700834.053484872)
,POINT (8275723.395894693 3689997.678484872)
,POINT (8272359.270894693 3700361.403484872)
,POINT (8281935.870894693 3704789.478484872)
,POINT (8265435.945894693 3711353.028484872)
,POINT (8275249.545894693 3690001.203484872)
,POINT (8260842.870894693 3692387.403484872)
,POINT (8277580.770894693 3700535.403484872)
,POINT (8260419.270894693 3692382.603484872)
,POINT (8280927.420894693 3704696.853484872)
,POINT (8288003.670894693 3709835.253484872)
,POINT (8269876.020894693 3687004.728484872)
,POINT (8265330.495894693 3711400.128484872)
,POINT (8277371.145894693 3701019.903484872)
,POINT (8286914.220894692 3707169.003484872)
,POINT (8261225.970894692 3692360.028484872)
,POINT (8275671.120894693 3689773.203484872)
,POINT (8272405.245894693 3696852.753484872)
,POINT (8276493.420894693 3689927.553484872)
,POINT (8269217.070894693 3686962.353484872)
,POINT (8265567.345894692 3711711.228484872)
,POINT (8265610.095894692 3711642.303484872)
,POINT (8275428.270894693 3690035.328484872)
,POINT (8287292.745894693 3706930.053484872)
,POINT (8260505.295894693 3692668.728484872)
,POINT (8270385.345894692 3687258.078484872)
,POINT (8261283.120894693 3692669.028484872)
,POINT (8277699.570894693 3700843.728484872)
,POINT (8281319.145894693 3704969.478484872)
,POINT (8272220.970894692 3696666.228484872)
,POINT (8265583.470894692 3711691.353484872)
,POINT (8286894.270894693 3706993.503484872)
,POINT (8277571.170894693 3701172.978484872)
,POINT (8271992.820894693 3700376.553484872)
,POINT (8281962.570894693 3704791.878484872)
,POINT (8265397.695894693 3711772.128484872)
,POINT (8281581.270894693 3704946.528484872)
,POINT (8286994.845894692 3707252.253484872)
,POINT (8272765.095894692 3697106.103484872)
,POINT (8260819.920894693 3692666.928484872)
,POINT (8282442.345894692 3705097.953484872)
,POINT (8271176.820894693 3697340.028484872)
,POINT (8269947.345894692 3687118.578484872)
,POINT (8266063.620894693 3711735.903484872)
,POINT (8278278.195894693 3701151.528484872)
,POINT (8286635.895894693 3707190.528484872)
,POINT (8261430.495894693 3688923.003484872)
,POINT (8287442.145894693 3707212.128484872)
,POINT (8277582.870894693 3701161.578484872)
,POINT (8276099.595894692 3690348.903484872)
,POINT (8272775.970894692 3697025.028484872)
,POINT (8281420.320894693 3705100.203484872)
,POINT (8269527.195894693 3687336.903484872)
,POINT (8277832.020894693 3701225.103484872)
,POINT (8280895.770894693 3705060.828484872)
,POINT (8276411.895894693 3690038.778484872)
,POINT (8269141.395894693 3687275.928484872)
,POINT (8276590.770894693 3690080.553484872)
,POINT (8286925.995894693 3707348.628484872)
,POINT (8267092.470894692 3708220.203484872)
,POINT (8260854.195894693 3692688.603484872)
,POINT (8270279.220894692 3687315.453484872)
,POINT (8277524.070894693 3701224.128484872)
,POINT (8271558.195894693 3697615.203484872)
,POINT (8281689.345894692 3705169.578484872)
,POINT (8260512.945894693 3689804.478484872)
,POINT (8281213.320894693 3705141.603484872)
,POINT (8266730.295894693 3711779.103484872)
,POINT (8259542.295894693 3689477.103484872)
,POINT (8270238.120894693 3687382.203484872)
,POINT (8271315.345894692 3697451.103484872)
,POINT (8282109.495894693 3705200.178484872)
,POINT (8286467.295894693 3707308.128484872)
,POINT (8275331.370894693 3690442.803484872)
,POINT (8261396.295894693 3689969.553484872)
,POINT (8266498.695894693 3711833.253484872)
,POINT (8277877.695894693 3701894.703484872)
,POINT (8259903.870894693 3689006.553484872)
,POINT (8287609.695894693 3707368.128484872)
,POINT (8266516.920894693 3708299.553484872)
,POINT (8286906.495894693 3707556.003484872)
,POINT (8276356.320894693 3690387.603484872)
,POINT (8269513.545894693 3687342.678484872)
,POINT (8275737.720894692 3690365.103484872)
,POINT (8266789.695894693 3708493.953484872)
,POINT (8276503.620894693 3690673.728484872)
,POINT (8271093.870894693 3694704.753484872)
,POINT (8266261.770894693 3708233.553484872)
,POINT (8277950.070894693 3701522.103484872)
,POINT (8281027.695894693 3705246.003484872)
,POINT (8288167.695894693 3707365.653484872)
,POINT (8276778.645894693 3690712.428484872)
,POINT (8260495.920894693 3690530.103484872)
,POINT (8281025.820894693 3705265.653484872)
,POINT (8277643.245894693 3701741.028484872)
,POINT (8272030.245894693 3697639.578484872)
,POINT (8272899.345894692 3698003.778484872)
,POINT (8259717.945894693 3687480.003484872)
,POINT (8270455.545894693 3687507.753484872)
,POINT (8270903.820894693 3687505.128484872)
,POINT (8287489.020894693 3707689.428484872)
,POINT (8267024.820894693 3708608.103484872)
,POINT (8270571.870894693 3687427.278484872)
,POINT (8275432.470894692 3690661.128484872)
,POINT (8270195.670894693 3687502.503484872)
