name,POI,geometry
,Food Points,POINT (8257312 3688572)
,Food Points,POINT (8257313 3688535)
,Food Points,POINT (8257419 3688436)
,Food Points,POINT (8257294 3688415)
,Food Points,POINT (8257341 3688414)
,Food Points,POINT (8257314 3688355)
,Food Points,POINT (8257287 3688311)
,Food Points,POINT (8257265 3688291)
,Food Points,POINT (8257253 3688140)
,Food Points,POINT (8256724 3687946)
,Food Points,POINT (8257256 3687697)
,Food Points,POINT (8257001 3687683)
,Food Points,POINT (8256131 3686864)
,Food Points,POINT (8257043 3688991)
,Food Points,POINT (8257484 3688862)
,Food Points,POINT (8258025 3671179)
,Food Points,POINT (8259249 3675796)
,Food Points,POINT (8258102 3679139)
,Food Points,POINT (8258089 3679117)
,Food Points,POINT (8258415 3678701)
,Food Points,POINT (8258196 3681088)
,Food Points,POINT (8258420 3681073)
,Food Points,POINT (8258292 3681062)
,Food Points,POINT (8258284 3681034)
,Food Points,POINT (8258322 3680944)
,Food Points,POINT (8258500 3680940)
,Food Points,POINT (8258418 3680940)
,Food Points,POINT (8258390 3680879)
,Food Points,POINT (8258419 3680869)
,Food Points,POINT (8258484 3680851)
,Food Points,POINT (8258531 3680790)
,Food Points,POINT (8258183 3680768)
,Food Points,POINT (8258521 3680750)
,Food Points,POINT (8258449 3680723)
,Food Points,POINT (8258451 3680655)
,Food Points,POINT (8258407 3680652)
,Food Points,POINT (8258229 3680550)
,Food Points,POINT (8259252 3680467)
,Food Points,POINT (8259101 3680336)
,Food Points,POINT (8258014 3680227)
,Food Points,POINT (8258475 3680217)
,Food Points,POINT (8258532 3680064)
,Food Points,POINT (8259011 3680041)
,Food Points,POINT (8258458 3679740)
,Food Points,POINT (8258489 3679697)
,Food Points,POINT (8258463 3679533)
,Food Points,POINT (8258296 3679256)
,Food Points,POINT (8258287 3679253)
,Food Points,POINT (8257779 3679205)
,Food Points,POINT (8258480 3682668)
,Food Points,POINT (8259333 3682575)
,Food Points,POINT (8259233 3682385)
,Food Points,POINT (8258427 3681925)
,Food Points,POINT (8258285 3681860)
,Food Points,POINT (8257833 3681849)
,Food Points,POINT (8258476 3681800)
,Food Points,POINT (8258431 3681765)
,Food Points,POINT (8258429 3681735)
,Food Points,POINT (8258919 3681708)
,Food Points,POINT (8257847 3681679)
,Food Points,POINT (8258375 3681665)
,Food Points,POINT (8257873 3681663)
,Food Points,POINT (8258320 3681660)
,Food Points,POINT (8258244 3681655)
,Food Points,POINT (8258033 3681654)
,Food Points,POINT (8258307 3681615)
,Food Points,POINT (8258501 3681605)
,Food Points,POINT (8258453 3681596)
,Food Points,POINT (8258501 3681576)
,Food Points,POINT (8258213 3681571)
,Food Points,POINT (8258301 3681570)
,Food Points,POINT (8258572 3681561)
,Food Points,POINT (8258558 3681536)
,Food Points,POINT (8258573 3681532)
,Food Points,POINT (8258214 3681528)
,Food Points,POINT (8257610 3681523)
,Food Points,POINT (8257557 3681515)
,Food Points,POINT (8258380 3681506)
,Food Points,POINT (8258541 3681504)
,Food Points,POINT (8257665 3681487)
,Food Points,POINT (8257556 3681485)
,Food Points,POINT (8258318 3681482)
,Food Points,POINT (8257602 3681479)
,Food Points,POINT (8258424 3681479)
,Food Points,POINT (8258550 3681478)
,Food Points,POINT (8258434 3681469)
,Food Points,POINT (8258531 3681453)
,Food Points,POINT (8258401 3681435)
,Food Points,POINT (8258488 3681420)
,Food Points,POINT (8258281 3681401)
,Food Points,POINT (8258490 3681389)
,Food Points,POINT (8258416 3681362)
,Food Points,POINT (8258431 3681356)
,Food Points,POINT (8258542 3681316)
,Food Points,POINT (8258411 3681296)
,Food Points,POINT (8258539 3681287)
,Food Points,POINT (8258151 3681286)
,Food Points,POINT (8258427 3681283)
,Food Points,POINT (8258550 3681272)
,Food Points,POINT (8258751 3681248)
,Food Points,POINT (8258203 3681246)
,Food Points,POINT (8258449 3681245)
,Food Points,POINT (8258272 3681238)
,Food Points,POINT (8258464 3681194)
,Food Points,POINT (8258556 3681178)
,Food Points,POINT (8258167 3681174)
,Food Points,POINT (8258447 3681172)
,Food Points,POINT (8258431 3681154)
,Food Points,POINT (8258419 3681128)
,Food Points,POINT (8258327 3681120)
,Food Points,POINT (8258371 3684838)
,Food Points,POINT (8259205 3683898)
,Food Points,POINT (8258605 3683843)
,Food Points,POINT (8257717 3683793)
,Food Points,POINT (8257688 3683783)
,Food Points,POINT (8258686 3683665)
,Food Points,POINT (8258611 3683651)
,Food Points,POINT (8258670 3683640)
,Food Points,POINT (8258334 3683628)
,Food Points,POINT (8258644 3683628)
,Food Points,POINT (8258814 3683455)
,Food Points,POINT (8258936 3683341)
,Food Points,POINT (8259211 3683315)
,Food Points,POINT (8258878 3683123)
,Food Points,POINT (8258875 3683107)
,Food Points,POINT (8258780 3683099)
,Food Points,POINT (8258903 3683098)
,Food Points,POINT (8258834 3683045)
,Food Points,POINT (8258821 3683036)
,Food Points,POINT (8258913 3683019)
,Food Points,POINT (8258968 3686235)
,Food Points,POINT (8258855 3686176)
,Food Points,POINT (8258524 3686055)
,Food Points,POINT (8258273 3686024)
,Food Points,POINT (8258553 3686006)
,Food Points,POINT (8259380 3686004)
,Food Points,POINT (8258568 3685975)
,Food Points,POINT (8258081 3685818)
,Food Points,POINT (8258315 3685805)
,Food Points,POINT (8257828 3685788)
,Food Points,POINT (8258002 3685783)
,Food Points,POINT (8258314 3685782)
,Food Points,POINT (8257991 3685778)
,Food Points,POINT (8258070 3685775)
,Food Points,POINT (8257727 3685774)
,Food Points,POINT (8258308 3685697)
,Food Points,POINT (8258030 3685660)
,Food Points,POINT (8258029 3685659)
,Food Points,POINT (8258880 3685627)
,Food Points,POINT (8258072 3685358)
,Food Points,POINT (8258302 3688068)
,Food Points,POINT (8259058 3688064)
,Food Points,POINT (8259076 3688064)
,Food Points,POINT (8258985 3688063)
,Food Points,POINT (8258158 3687573)
,Food Points,POINT (8258028 3687573)
,Food Points,POINT (8258191 3687539)
,Food Points,POINT (8258206 3687522)
,Food Points,POINT (8258005 3687513)
,Food Points,POINT (8258121 3687490)
,Food Points,POINT (8258320 3687445)
,Food Points,POINT (8259001 3687105)
,Food Points,POINT (8259080 3690017)
,Food Points,POINT (8258987 3689795)
,Food Points,POINT (8258823 3689088)
,Food Points,POINT (8257736 3689065)
,Food Points,POINT (8260600 3668580)
,Food Points,POINT (8260063 3673449)
,Food Points,POINT (8260067 3673418)
,Food Points,POINT (8260041 3673417)
,Food Points,POINT (8260057 3672166)
,Food Points,POINT (8260919 3673853)
,Food Points,POINT (8261315 3673543)
,Food Points,POINT (8261074 3680684)
,Food Points,POINT (8259528 3680426)
,Food Points,POINT (8259456 3682799)
,Food Points,POINT (8259441 3682782)
,Food Points,POINT (8259744 3682244)
,Food Points,POINT (8259676 3682185)
,Food Points,POINT (8259681 3681951)
,Food Points,POINT (8259598 3681857)
,Food Points,POINT (8259638 3681839)
,Food Points,POINT (8259765 3684708)
,Food Points,POINT (8260957 3684447)
,Food Points,POINT (8260835 3684195)
,Food Points,POINT (8259574 3683526)
,Food Points,POINT (8260547 3685832)
,Food Points,POINT (8261218 3685409)
,Food Points,POINT (8260174 3688639)
,Food Points,POINT (8260979 3690462)
,Food Points,POINT (8260335 3689928)
,Food Points,POINT (8260873 3689660)
,Food Points,POINT (8260632 3689499)
,Food Points,POINT (8261032 3689429)
,Food Points,POINT (8261284 3689042)
,Food Points,POINT (8261277 3688905)
,Food Points,POINT (8261216 3688894)
,Food Points,POINT (8261089 3688805)
,Food Points,POINT (8260831 3688751)
,Food Points,POINT (8259472 3692459)
,Food Points,POINT (8259918 3692229)
,Food Points,POINT (8259617 3692215)
,Food Points,POINT (8260139 3692125)
,Food Points,POINT (8260082 3692117)
,Food Points,POINT (8260135 3692099)
,Food Points,POINT (8260075 3692041)
,Food Points,POINT (8260076 3692005)
,Food Points,POINT (8260636 3691942)
,Food Points,POINT (8260378 3691848)
,Food Points,POINT (8260092 3691705)
,Food Points,POINT (8260115 3691705)
,Food Points,POINT (8260669 3691372)
,Food Points,POINT (8260395 3691355)
,Food Points,POINT (8260860 3691342)
,Food Points,POINT (8260197 3691316)
,Food Points,POINT (8260309 3691245)
,Food Points,POINT (8260400 3691155)
,Food Points,POINT (8260192 3690889)
,Food Points,POINT (8260450 3690875)
,Food Points,POINT (8259933 3693312)
,Food Points,POINT (8261296 3693151)
,Food Points,POINT (8260234 3693142)
,Food Points,POINT (8261279 3692999)
,Food Points,POINT (8260508 3692927)
,Food Points,POINT (8260859 3692832)
,Food Points,POINT (8260939 3692803)
,Food Points,POINT (8241975 3674015)
,Food Points,POINT (8262689 3667326)
,Food Points,POINT (8262677 3667316)
,Food Points,POINT (8262625 3666740)
,Food Points,POINT (8262399 3666672)
,Food Points,POINT (8262790 3666227)
,Food Points,POINT (8262674 3666163)
,Food Points,POINT (8262591 3666139)
,Food Points,POINT (8262669 3666064)
,Food Points,POINT (8262642 3666053)
,Food Points,POINT (8262661 3666012)
,Food Points,POINT (8262383 3668904)
,Food Points,POINT (8262701 3670090)
,Food Points,POINT (8262702 3673430)
,Food Points,POINT (8262631 3673404)
,Food Points,POINT (8261875 3673306)
,Food Points,POINT (8262195 3673208)
,Food Points,POINT (8262648 3672507)
,Food Points,POINT (8262602 3672073)
,Food Points,POINT (8262639 3671958)
,Food Points,POINT (8262601 3671759)
,Food Points,POINT (8262613 3671720)
